edges h_den h_den_train h_den_val h_den_test h_edge h_node h_norm degree density train_acc test_acc val_acc train_acc_std test_acc_std val_acc_std
42002 0.504744827747345 0.5035833716392517 0.5064847469329834 0.5041078329086304 0.5988762378692627 0.5681710839271545 0.4604179263114929 18.446201141853315 0.009056913956082959 0.8538461538461538 0.6535087719298247 0.6460905349794238 0.04354682068051049 0.006934819430193801 0.005900085917038853
44002 0.5049029588699341 0.5037128329277039 0.5065972805023193 0.5040959715843201 0.5840643644332886 0.566810131072998 0.4442295432090759 19.324549846288978 0.009426791437434658 0.8657509157509157 0.656578947368421 0.6458161865569274 0.01177372230741771 0.006505437269382153 0.0022540022942599326
46002 0.5049497485160828 0.5037524104118347 0.5067763328552246 0.5040959715843201 0.5704534649848938 0.563977837562561 0.4288572669029236 20.202898550724637 0.009837041522913108 0.8503663003663003 0.6464912280701754 0.6364883401920438 0.028422229491222212 0.019700258492522573 0.004651803829304017
48002 0.505067765712738 0.5037858486175537 0.5068625807762146 0.5040841102600098 0.5586850643157959 0.5626502633094788 0.41612839698791504 21.0812472551603 0.010217417587189255 0.8219780219780219 0.6201754385964912 0.629355281207133 0.023779566953138435 0.006279746080384362 0.0051691203515546735
50002 0.5051190853118896 0.5039587616920471 0.5067434310913086 0.5041283369064331 0.5453381538391113 0.5589863061904907 0.40083399415016174 21.95959595959596 0.010633311727308144 0.8434065934065934 0.631578947368421 0.6290809327846365 0.0254852015569153 0.01221000956760969 0.006692077321070233
52002 0.5052094459533691 0.504011332988739 0.5065881609916687 0.504196286201477 0.5340948700904846 0.5572862029075623 0.3881303668022156 22.83794466403162 0.011038256701768388 0.8245421245421245 0.6241228070175439 0.621673525377229 0.016967359565900127 0.008292837895258346 0.0022540022942599664
54002 0.5053195953369141 0.5040799975395203 0.5064849853515625 0.5042890906333923 0.5240176320075989 0.557057797908783 0.377088725566864 23.71629336846728 0.011389208407624075 0.8489010989010989 0.638157894736842 0.6299039780521263 0.024546566215531525 0.020336882665560763 0.004791289217166768
56002 0.5053420662879944 0.5040916204452515 0.5064935088157654 0.5042648315429688 0.5136245489120483 0.5548416972160339 0.365012526512146 24.594642072902943 0.01177853774676207 0.8285714285714286 0.6280701754385966 0.6222222222222222 0.027726239943088996 0.018452354357861966 0.00429423205555516
58002 0.5053877234458923 0.5041804313659668 0.5064089894294739 0.5044301152229309 0.5040860772132874 0.5529764890670776 0.35360023379325867 25.4729907773386 0.012199184786037884 0.813003663003663 0.625438596491228 0.623593964334705 0.027907124148828504 0.006279746080384362 0.0020803499160635696
60002 0.5055339336395264 0.5043005347251892 0.5062521696090698 0.5044659972190857 0.49501681327819824 0.5518609881401062 0.34355270862579346 26.351339481774264 0.012539194124496673 0.8437728937728938 0.6245614035087719 0.6263374485596708 0.011448717802221245 0.00868930384042058 0.0033035924770349065
62002 0.5055829882621765 0.5043946504592896 0.5061279535293579 0.5044339299201965 0.48543593287467957 0.5495593547821045 0.33247530460357666 27.229688186209927 0.012933492702199248 0.8316849816849817 0.6206140350877194 0.6241426611796982 0.012034374726006963 0.011182060336826274 0.003497269899583538
64002 0.5056354403495789 0.5044410824775696 0.5060544013977051 0.5044792890548706 0.47667258977890015 0.5480718612670898 0.3221946954727173 28.108036890645586 0.013326331675367379 0.8452380952380952 0.624122807017544 0.6255144032921811 0.01705854945988749 0.008436571956873423 0.006858710562414272
66002 0.505634605884552 0.5045095682144165 0.5060874223709106 0.50445556640625 0.4685918390750885 0.5460301041603088 0.3124890923500061 28.98638559508125 0.01373023322382764 0.8410256410256409 0.6293859649122806 0.6320987654320988 0.028125631272163932 0.006393587603997041 0.004487085660849442
68002 0.5057347416877747 0.5046629309654236 0.5059439539909363 0.5043992400169373 0.46225109696388245 0.5453822612762451 0.3051360845565796 29.864734299516908 0.014120515051403392 0.8510989010989011 0.631578947368421 0.6334705075445817 0.010332170481735042 0.005371688032419255 0.002254002294259919
70002 0.505776584148407 0.5046811699867249 0.5058563947677612 0.5043773055076599 0.4549869894981384 0.5431703329086304 0.2967766225337982 30.74308300395257 0.014522573658463721 0.8291208791208792 0.6258771929824561 0.6348422496570645 0.041947989627748074 0.01825583805988372 0.010509729113513278
72002 0.5057793259620667 0.5047193765640259 0.505790650844574 0.5042819380760193 0.44843199849128723 0.5420820713043213 0.2891088128089905 31.62143170838823 0.014923894398140203 0.854029304029304 0.6298245614035087 0.6417009602194786 0.0062647001379073615 0.01154183979556209 0.0036807703333329865
74002 0.5058329105377197 0.5048103928565979 0.5057145357131958 0.5043178200721741 0.4422042667865753 0.5413979887962341 0.28159862756729126 32.49978041282389 0.015296622431683823 0.8556776556776556 0.632017543859649 0.6460905349794238 0.008653725021924897 0.004218285978436729 0.004849840748878939
