edges h_den h_den_train h_den_val h_den_test h_edge h_node h_norm degree density train_acc test_acc val_acc train_acc_std test_acc_std val_acc_std
106002 0.5005958676338196 0.5005133748054504 0.5007542371749878 0.5002933144569397 0.37410613894462585 0.46414828300476074 0.17520995438098907 20.381080561430494 0.004838709677419355 0.8489583333333334 0.5460134486071084 0.5474759615384615 0.010953704418663711 0.007938887036078554 0.0012019230769230865
108002 0.5005931258201599 0.5005066990852356 0.500745952129364 0.5003050565719604 0.3726227283477783 0.4641905128955841 0.17314080893993378 20.765621995770044 0.004915291078147312 0.8542467948717949 0.54716618635927 0.5502403846153847 0.0013408013245738292 0.0026828511131160382 0.0021916565539435726
110002 0.5005906224250793 0.500515878200531 0.5007432699203491 0.5002956986427307 0.3710114657878876 0.46369078755378723 0.1709611862897873 21.150163430109593 0.005002043979899424 0.8525641025641025 0.5469740634005763 0.5495192307692307 0.01593020460903126 0.011971125901767056 0.0034679177995801834
112002 0.5005871057510376 0.5005095601081848 0.5007384419441223 0.5002659559249878 0.3695469796657562 0.46295249462127686 0.16883544623851776 21.534704864449143 0.005084311357304404 0.8466346153846154 0.5490874159462056 0.5483173076923077 0.026710169593662708 0.011835460389057768 0.005334697360858702
114002 0.5005831122398376 0.5005073547363281 0.5007302165031433 0.5003013014793396 0.36815145611763 0.462508887052536 0.16693559288978577 21.919246298788696 0.005166291392030981 0.849278846153846 0.545821325648415 0.5487980769230769 0.026553464400865544 0.008385457384359382 0.0039269974165155146
116002 0.5005828738212585 0.5004974603652954 0.5007273554801941 0.5003040432929993 0.3669074773788452 0.46199995279312134 0.16506920754909515 22.303787733128246 0.005256926493029753 0.873076923076923 0.5517771373679154 0.5536057692307692 0.01812518774415902 0.011737596460408015 0.0036653727600906333
118002 0.500586748123169 0.5005123615264893 0.500741720199585 0.5003110766410828 0.3656887114048004 0.4624975323677063 0.16340894997119904 22.688329167467796 0.005329393863984431 0.8325320512820513 0.5377521613832854 0.5454326923076922 0.009907262034357581 0.0035555726269590293 0.0026741100314046744
120002 0.500580370426178 0.5005037188529968 0.5007583498954773 0.5002992153167725 0.36401060223579407 0.46165063977241516 0.1613025665283203 23.072870601807345 0.005415116840931248 0.8472756410256409 0.545821325648415 0.5486778846153846 0.013310088411638766 0.005739623149390861 0.0027209690919884305
122002 0.5005798935890198 0.5005063414573669 0.500760555267334 0.5003109574317932 0.3624366819858551 0.4602702856063843 0.1593322902917862 23.457412036146895 0.005505367284106048 0.8456730769230768 0.5460134486071085 0.5472355769230768 0.015631162492844648 0.005331195744673061 0.002640130124578002
124002 0.5005761981010437 0.5005207657814026 0.5007541179656982 0.5002920627593994 0.36126837134361267 0.4597913324832916 0.1575694978237152 23.841953470486445 0.0055908661148931504 0.8270032051282052 0.5304514889529298 0.544951923076923 0.010160812489838068 0.008682810019962857 0.0024558673968392555
